Outer Fold,Inner Mean AUC,Selected Epoch,Full Epoch AUC,Best Temporal AUC,Best Temporal Fraction,AUC_10%,AUC_20%,AUC_30%,AUC_40%,AUC_50%,AUC_60%,AUC_70%,AUC_80%,AUC_90%,AUC_100%
1,0.6596696510412164,5,0.6455903790087464,0.6885932944606413,0.6914285714285714,0.5583090379008746,0.5149416909620991,0.5887390670553936,0.5599489795918368,0.5969387755102041,0.6310131195335277,0.6849489795918368,0.6259110787172011,0.6126093294460642,0.6455903790087464
2,0.685444846016082,24,0.668002915451895,0.668002915451895,1.0,0.547740524781341,0.5402696793002916,0.5466472303206997,0.6122448979591837,0.6235422740524782,0.5756195335276968,0.5672376093294461,0.5728862973760933,0.597667638483965,0.668002915451895
3,0.6924120641459864,24,0.6823979591836735,0.6827623906705539,0.9971428571428571,0.6047740524781342,0.5550291545189504,0.5533892128279884,0.5645043731778425,0.6064139941690962,0.5626822157434402,0.5980320699708455,0.6016763848396502,0.6279154518950437,0.6823979591836735
4,0.6688768121911792,10,0.74216472303207,0.7427113702623906,0.9971428571428571,0.6426749271137026,0.7133746355685131,0.6780247813411079,0.7124635568513119,0.7193877551020408,0.7217565597667638,0.7237609329446064,0.7263119533527697,0.7184766763848396,0.74216472303207
5,0.6919655593946228,8,0.6505102040816326,0.6581632653061225,0.11142857142857143,0.6494169096209912,0.5770772594752187,0.5983965014577259,0.5712463556851312,0.5872813411078717,0.6319241982507289,0.6528790087463557,0.6342930029154519,0.6198979591836735,0.6505102040816326
