EEG Fraction,Mean AUC,SD,Min,Max,95% CI Lower,95% CI Upper
0.1,0.6005830903790088,0.04677996642966648,0.547740524781341,0.6494169096209912,0.5424980924269162,0.6586680883311015
0.2,0.5801384839650147,0.07783293810781076,0.5149416909620991,0.7133746355685131,0.48349613050384355,0.6767808374261858
0.3,0.5930393586005831,0.052426322566713424,0.5466472303206997,0.6780247813411079,0.5279434837777202,0.658135233423446
0.4,0.6040816326530611,0.06404195175961881,0.5599489795918368,0.7124635568513119,0.5245630497913505,0.6836002155147718
0.5,0.6267128279883382,0.053507180688171584,0.5872813411078717,0.7193877551020408,0.5602748905997443,0.693150765376932
0.6,0.6245991253644314,0.06278349143513245,0.5626822157434402,0.7217565597667638,0.5466431273215979,0.7025551234072649
0.7,0.645371720116618,0.06346961730299948,0.5672376093294461,0.7237609329446064,0.5665637843176972,0.7241796559155389
0.8,0.6322157434402332,0.05777282258578431,0.5728862973760933,0.7263119533527697,0.560481312278825,0.7039501746016414
0.9,0.6353134110787172,0.04780474393464045,0.597667638483965,0.7184766763848396,0.5759559838407408,0.6946708383166936
1.0,0.6777332361516035,0.0388655117806958,0.6455903790087464,0.74216472303207,0.6294753312302116,0.7259911410729954
